Date,Open ,High,Low ,Close_Price,Active_Adresses,Age_Destroyed,Network_Profit_Loss,NVT_Ratio,Realized_Value,Token_Age_Consumed,Token_Circulation,Velocity,Whale_Transaction_Count_100K,Exchange_Balance,Dev_Activity,Mean_Age,Mean_Dollar_Invested,Exchange_Percentage_Of_Supply,Exchange_In_Out_Flow,Exchange_Inflow,Exchange_Outflow,Transaction_Volume,Transaction_Volume_Loss,Transaction_Volume_Profit,Transaction_Volume_Profit_Loss,MVRV_Ratio,HoldersDistr_0.001_0.01,HoldersDistr_0.01_0.1,HoldersDistr_0.1_1,HoldersDistr_1_10,HoldersDistr_10_100,HoldersDistr_100_1K,HoldersDistr_1K_10K,HoldersDistr_10K_100K,HoldersDistr_100K_1M,HoldersDistr_Total
2017-04-20,1211.08,1240.79,1208.41,1229.08,688133,6369597.668,17602703.41,60.36897012,8607828060,6369597.668,16284803.23,5.58435486,3559,-26103.26476,94,916.8777475,356.8874356,3.199116458,-26103.26476,135661.3636,161764.6283,1506405.027,325197.1792,784854.5965,2.413472953,2.325246952,2758813,2529628,1105549,427746,130486,16391,1686,112,2,15965641
2017-04-21,1229.42,1235.94,1215.56,1222.05,791949,5335769.158,9996524.066,67.78469492,8620380799,5335769.158,16286890.73,5.634819073,3058,-1298.15335,47,917.4325545,356.9822221,3.190735884,-1298.15335,121863.1478,123161.3011,1353899.765,559621.0588,457438.7433,0.817408023,2.30887652,2770400,2529182,1101154,427559,130442,16383,1685,112,2,16000415
2017-04-22,1222.71,1235.56,1208.47,1231.71,686373,3569709.348,7119771.152,94.65917002,8629718889,3569709.348,16288703.23,6.088959313,2327,2513.771991,8,918.1112571,357.3680283,3.20581345,2513.771991,77575.79859,75062.0266,1047772.247,307405.1799,498926.8738,1.623026892,2.324868158,2784940,2533379,1101638,425779,130465,16343,1686,112,2,16041740
2017-04-23,1231.92,1232.2,1203.94,1207.21,644287,4871788.18,7529995.382,102.0800211,8639580145,4871788.18,16290615.73,6.359777164,2321,555.0910676,18,918.7043564,357.6291188,3.208844519,555.0910676,80784.25715,80229.16609,1014935.977,498262.0019,307327.3739,0.616798738,2.276290501,2793227,2533279,1095034,426408,130358,16384,1685,112,2,16065481
2017-04-24,1209.63,1250.94,1209.63,1250.15,608291,10795535.22,21733247.84,73.66615942,8663211759,10795535.22,16292165.73,6.30039193,3271,-12596.98533,19,918.954289,357.1140971,3.131219956,-12596.98533,99939.63574,112536.6211,1393408.185,254803.1872,714341.0926,2.803501403,2.351050806,2782920,2538723,1104579,427576,130308,16367,1698,111,2,16075479
2017-04-25,1250.45,1267.58,1249.97,1265.49,738897,7789420.503,21904082.87,60.40060704,8687444158,7789420.503,16294015.73,8.984264583,5451,3686.440217,59,919.3718395,356.5859735,3.153488946,3686.440217,111300.9193,107614.4791,2423646.974,408730.3575,916585.8525,2.242519636,2.373530534,2792557,2553619,1113688,429597,130598,16448,1684,111,2,16133652
2017-04-26,1265.99,1294.83,1265.93,1281.08,768521,7628177.216,23734677.13,62.43597719,8713622588,7628177.216,16295928.23,6.591098711,3810,10716.78559,47,919.7957788,355.987332,3.218882429,10716.78559,143213.1962,132496.4106,1720291.351,337697.4228,886724.7244,2.625796541,2.395833367,2813684,2563648,1118339,429683,130751,16492,1680,111,2,16201598
2017-04-27,1281.88,1319.7,1281.3,1317.73,724004,7370634.378,29568834.56,60.88361467,8745583405,7370634.378,16297765.73,7.270432839,4963,3788.903758,52,920.2397691,355.155872,3.24176751,3788.903758,153812.116,150023.2122,1946201.976,336727.1364,874768.0571,2.597854353,2.455645764,2822257,2564621,1117615,430089,130894,16481,1678,110,2,16234561
2017-04-28,1317.74,1331.28,1292.37,1316.48,727297,16541936.68,29719923.65,59.86059011,8777533164,16541936.68,16299465.73,5.991513044,3989,14134.33921,23,920.1288573,353.6171377,3.32814598,14134.33921,184543.6716,170409.3324,1631431.654,539465.9909,525128.3887,0.973422602,2.444641364,2837177,2589921,1124017,430981,130852,16492,1671,110,2,16309525
2017-04-29,1317.84,1327.2,1315.21,1321.79,828919,8443979.78,19739881.51,67.72283873,8800131352,8443979.78,16301628.23,5.374533922,3394,3556.016893,14,920.4887443,353.3021951,3.349518359,3556.016893,138271.381,134715.3641,1293709.117,408204.8164,591228.6186,1.448362672,2.448523587,2846034,2588222,1120639,429583,130691,16484,1673,110,2,16341490
2017-04-30,1321.87,1347.91,1314.92,1347.89,724924,5570785.387,16266289.6,79.84775467,8818894866,5570785.387,16303515.73,5.24034631,3376,7185.620918,11,921.0404233,353.1806096,3.393204634,7185.620918,124201.9327,117016.3118,1069987.113,314915.0564,511633.4223,1.624671199,2.491848033,2841200,2573077,1118884,428903,130667,16471,1673,110,2,16332967
2017-05-01,1348.3,1434.32,1348.3,1421.6,707249,31883221.18,61406950.09,57.01733042,8882902219,31883221.18,16305390.73,5.043990883,4128,12368.35075,56,919.9790735,350.4942546,3.468668806,12368.35075,193181.5287,180813.178,1442442.878,263290.4561,827248.4699,3.141961475,2.609478625,2853392,2578985,1119283,429182,131128,16423,1674,110,2,16372555
2017-05-02,1421.03,1473.9,1415.69,1452.82,787413,19403970.32,51482747.19,58.07175178,8940174347,19403970.32,16307365.73,5.591861045,4193,7924.046869,72,919.6777019,348.2865926,3.516840539,7924.046869,157757.5943,149833.5474,1570273.332,361125.899,714832.2267,1.979454336,2.650022937,2859085,2583311,1125158,431421,131042,16473,1673,111,2,16418936
2017-05-03,1453.78,1492.77,1447.49,1490.09,690009,12334228.88,42778259.45,58.25850254,8985882988,12334228.88,16309015.73,5.574420222,4333,-12087.73137,71,919.8283225,346.9033709,3.44236787,-12087.73137,151899.1054,163986.8368,1560515.687,358994.7624,729030.2737,2.030754624,2.704453339,2877397,2604213,1126009,433312,131011,16431,1674,110,2,16484692
2017-05-04,1490.72,1608.91,1490.72,1537.67,851816,18295775.79,96033058.81,45.70605456,9085447502,18295775.79,16311115.73,5.663834691,5939,1068.398087,102,919.5881544,342.9043936,3.4484748,1068.398087,237679.8196,236611.4215,2021252.195,304163.6547,972763.1229,3.198157005,2.760580953,2896142,2619423,1128688,433073,131043,16429,1657,113,2,16556120
2017-05-05,1540.87,1618.03,1530.31,1555.45,663378,29049849.39,76376972.21,54.65852963,9164459665,29049849.39,16312728.23,6.625437107,5900,6526.377752,73,918.7163932,339.4212099,3.488141807,6526.377752,245123.4309,238597.0532,1977348.379,536512.3639,671345.7736,1.251314637,2.768699308,2891513,2638516,1140582,434418,130880,16467,1660,112,2,16607523
